fondo_id;nombre_fondo;fecha;clase;numero_fondo;valor;id;nombre;moneda;riesgo;horizonte;categoria;variacion_diaria;url_detalle;fecha_scraping_x;descripcion;volatilidad_anual;rendimiento_ytd;rendimiento_mes;duration;patrimonio;fecha_informacion;factsheet_url;fecha_scraping_y;fondo_nombre;fecha_reporte;moneda_factsheet;riesgo_factsheet;horizonte_inversion;perfil_inversor;clasificacion;patrimonio_neto;valor_cuotaparte;rendimiento_7_dias;rendimiento_1_mes;rendimiento_90_dias;rendimiento_180_dias;rendimiento_anual;rendimiento_12_meses;benchmark;honorarios_sg_sd;gastos_gestion;honorarios_exito;liquidez_pct;plazo_fijo_pct;caucion_pct
fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;2026-06-03;Clase A;4;35971717;fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;ARS;Conservador;Horizonte a 1 día;Money market;0.0506;https://www.provinciafondos.com.ar/nuestros-fondos/fx00gteu1ughpxmzrii6nb3q;2026-06-04 18:32:59.455226;Fondo money market en pesos: invierte en plazos fijo en bancos del sistema financiero local, depósitos a la vista, cauciones.;14.0;2499.0;1884.0;0,4 meses;1634179117139.0;2026-05-29;https://provincia-prod-api.teocoop.site/uploads/F4_05_26_c03b947343.pdf;2026-06-04 18:33:03.649604;RAÍCES 24/7 | Ahorro Pesos;2026-05-29;Pesos;bajo;1 día;conservador;money market;1.634.179.117.139;35,881257;18,48%;18.84;21,14%;24,92%;24,99%;33.17;75% Tasa Tamar;1,9%;0%;0%;55.1;0.0;0.0
fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;2026-06-02;Clase A;4;35953528;fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;ARS;Conservador;Horizonte a 1 día;Money market;0.0506;https://www.provinciafondos.com.ar/nuestros-fondos/fx00gteu1ughpxmzrii6nb3q;2026-06-04 18:32:59.455226;Fondo money market en pesos: invierte en plazos fijo en bancos del sistema financiero local, depósitos a la vista, cauciones.;14.0;2499.0;1884.0;0,4 meses;1634179117139.0;2026-05-29;https://provincia-prod-api.teocoop.site/uploads/F4_05_26_c03b947343.pdf;2026-06-04 18:33:03.649604;RAÍCES 24/7 | Ahorro Pesos;2026-05-29;Pesos;bajo;1 día;conservador;money market;1.634.179.117.139;35,881257;18,48%;18.84;21,14%;24,92%;24,99%;33.17;75% Tasa Tamar;1,9%;0%;0%;55.1;0.0;0.0
fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;2026-06-01;Clase A;4;35935558;fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;ARS;Conservador;Horizonte a 1 día;Money market;0.0506;https://www.provinciafondos.com.ar/nuestros-fondos/fx00gteu1ughpxmzrii6nb3q;2026-06-04 18:32:59.455226;Fondo money market en pesos: invierte en plazos fijo en bancos del sistema financiero local, depósitos a la vista, cauciones.;14.0;2499.0;1884.0;0,4 meses;1634179117139.0;2026-05-29;https://provincia-prod-api.teocoop.site/uploads/F4_05_26_c03b947343.pdf;2026-06-04 18:33:03.649604;RAÍCES 24/7 | Ahorro Pesos;2026-05-29;Pesos;bajo;1 día;conservador;money market;1.634.179.117.139;35,881257;18,48%;18.84;21,14%;24,92%;24,99%;33.17;75% Tasa Tamar;1,9%;0%;0%;55.1;0.0;0.0
fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;2026-05-29;Clase A;4;35881257;fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;ARS;Conservador;Horizonte a 1 día;Money market;0.0506;https://www.provinciafondos.com.ar/nuestros-fondos/fx00gteu1ughpxmzrii6nb3q;2026-06-04 18:32:59.455226;Fondo money market en pesos: invierte en plazos fijo en bancos del sistema financiero local, depósitos a la vista, cauciones.;14.0;2499.0;1884.0;0,4 meses;1634179117139.0;2026-05-29;https://provincia-prod-api.teocoop.site/uploads/F4_05_26_c03b947343.pdf;2026-06-04 18:33:03.649604;RAÍCES 24/7 | Ahorro Pesos;2026-05-29;Pesos;bajo;1 día;conservador;money market;1.634.179.117.139;35,881257;18,48%;18.84;21,14%;24,92%;24,99%;33.17;75% Tasa Tamar;1,9%;0%;0%;55.1;0.0;0.0
fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;2026-05-28;Clase A;4;35863;fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;ARS;Conservador;Horizonte a 1 día;Money market;0.0506;https://www.provinciafondos.com.ar/nuestros-fondos/fx00gteu1ughpxmzrii6nb3q;2026-06-04 18:32:59.455226;Fondo money market en pesos: invierte en plazos fijo en bancos del sistema financiero local, depósitos a la vista, cauciones.;14.0;2499.0;1884.0;0,4 meses;1634179117139.0;2026-05-29;https://provincia-prod-api.teocoop.site/uploads/F4_05_26_c03b947343.pdf;2026-06-04 18:33:03.649604;RAÍCES 24/7 | Ahorro Pesos;2026-05-29;Pesos;bajo;1 día;conservador;money market;1.634.179.117.139;35,881257;18,48%;18.84;21,14%;24,92%;24,99%;33.17;75% Tasa Tamar;1,9%;0%;0%;55.1;0.0;0.0
fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;2026-05-27;Clase A;4;35844756;fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;ARS;Conservador;Horizonte a 1 día;Money market;0.0506;https://www.provinciafondos.com.ar/nuestros-fondos/fx00gteu1ughpxmzrii6nb3q;2026-06-04 18:32:59.455226;Fondo money market en pesos: invierte en plazos fijo en bancos del sistema financiero local, depósitos a la vista, cauciones.;14.0;2499.0;1884.0;0,4 meses;1634179117139.0;2026-05-29;https://provincia-prod-api.teocoop.site/uploads/F4_05_26_c03b947343.pdf;2026-06-04 18:33:03.649604;RAÍCES 24/7 | Ahorro Pesos;2026-05-29;Pesos;bajo;1 día;conservador;money market;1.634.179.117.139;35,881257;18,48%;18.84;21,14%;24,92%;24,99%;33.17;75% Tasa Tamar;1,9%;0%;0%;55.1;0.0;0.0
fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;2026-05-26;Clase A;4;3582651;fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;ARS;Conservador;Horizonte a 1 día;Money market;0.0506;https://www.provinciafondos.com.ar/nuestros-fondos/fx00gteu1ughpxmzrii6nb3q;2026-06-04 18:32:59.455226;Fondo money market en pesos: invierte en plazos fijo en bancos del sistema financiero local, depósitos a la vista, cauciones.;14.0;2499.0;1884.0;0,4 meses;1634179117139.0;2026-05-29;https://provincia-prod-api.teocoop.site/uploads/F4_05_26_c03b947343.pdf;2026-06-04 18:33:03.649604;RAÍCES 24/7 | Ahorro Pesos;2026-05-29;Pesos;bajo;1 día;conservador;money market;1.634.179.117.139;35,881257;18,48%;18.84;21,14%;24,92%;24,99%;33.17;75% Tasa Tamar;1,9%;0%;0%;55.1;0.0;0.0
fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;2026-05-22;Clase A;4;3575455;fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;ARS;Conservador;Horizonte a 1 día;Money market;0.0506;https://www.provinciafondos.com.ar/nuestros-fondos/fx00gteu1ughpxmzrii6nb3q;2026-06-04 18:32:59.455226;Fondo money market en pesos: invierte en plazos fijo en bancos del sistema financiero local, depósitos a la vista, cauciones.;14.0;2499.0;1884.0;0,4 meses;1634179117139.0;2026-05-29;https://provincia-prod-api.teocoop.site/uploads/F4_05_26_c03b947343.pdf;2026-06-04 18:33:03.649604;RAÍCES 24/7 | Ahorro Pesos;2026-05-29;Pesos;bajo;1 día;conservador;money market;1.634.179.117.139;35,881257;18,48%;18.84;21,14%;24,92%;24,99%;33.17;75% Tasa Tamar;1,9%;0%;0%;55.1;0.0;0.0
fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;2026-05-21;Clase A;4;35736429;fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;ARS;Conservador;Horizonte a 1 día;Money market;0.0506;https://www.provinciafondos.com.ar/nuestros-fondos/fx00gteu1ughpxmzrii6nb3q;2026-06-04 18:32:59.455226;Fondo money market en pesos: invierte en plazos fijo en bancos del sistema financiero local, depósitos a la vista, cauciones.;14.0;2499.0;1884.0;0,4 meses;1634179117139.0;2026-05-29;https://provincia-prod-api.teocoop.site/uploads/F4_05_26_c03b947343.pdf;2026-06-04 18:33:03.649604;RAÍCES 24/7 | Ahorro Pesos;2026-05-29;Pesos;bajo;1 día;conservador;money market;1.634.179.117.139;35,881257;18,48%;18.84;21,14%;24,92%;24,99%;33.17;75% Tasa Tamar;1,9%;0%;0%;55.1;0.0;0.0
fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;2026-05-20;Clase A;4;35718332;fx00gteu1ughpxmzrii6nb3q;RAÍCES 24/7 | Ahorro Pesos;ARS;Conservador;Horizonte a 1 día;Money market;0.0506;https://www.provinciafondos.com.ar/nuestros-fondos/fx00gteu1ughpxmzrii6nb3q;2026-06-04 18:32:59.455226;Fondo money market en pesos: invierte en plazos fijo en bancos del sistema financiero local, depósitos a la vista, cauciones.;14.0;2499.0;1884.0;0,4 meses;1634179117139.0;2026-05-29;https://provincia-prod-api.teocoop.site/uploads/F4_05_26_c03b947343.pdf;2026-06-04 18:33:03.649604;RAÍCES 24/7 | Ahorro Pesos;2026-05-29;Pesos;bajo;1 día;conservador;money market;1.634.179.117.139;35,881257;18,48%;18.84;21,14%;24,92%;24,99%;33.17;75% Tasa Tamar;1,9%;0%;0%;55.1;0.0;0.0
